track,score,date,race,ml odds rank,score rank,odds rank,claimed last rank,post position,last 3 purse adv,distance worked rank,days since last race rank,trainer jock combo rank,trainer jock combo adv,trainer jock roi rank,trainer jock roi adv,avg turn time rank,avg turn time adv,current race type,distance,distance difference,days since last race,last finish,surface,program number,horse name,trainer,jockey,impr decl finish,imprv decl speed,weight last race,weight,last purse rank,last purse adv,class difference,lifetime earnings rank,lifetime earnings adv,ml odds current race,off odds current race,speed last race rank,speed last race adv,win % rank,win % adv,avg earnings distance rank,avg earnings distance adv,in the money rank,in the money adv,horses beaten rank,horses beaten adv,best speed last 3 rank,best speed last 3 adv,avg speed last 3 rank,avg speed last 3 adv,best lifetime speed rank,best lifetime speed adv,best speed track rank,best speed track adv,best speed distance rank,best speed distance adv,avg 2 of 3 speed rank,avg 2 of 3 speed adv,win payoff,place payoff,show payoff,finish position
MTH,//54,20160704,3,1,4,1,,4,0,2,4,3,0,3,0,3,0,Allowance,8,0,15,3,dirt,4,A SIXTIES TUNE,LEESON JOHN D,JUAREZ NIK,0,0,110,120,2,0,-0.72,4,0,2.5,1.3,2,0,3,0,3,0,3,0,5,0,2,0,1,2.6,3,0,2,0,2,0,1,1.3,0,3,2.2,2
MTH,//30,20160704,3,4,3,4,,3,0,2,8,1,67,1,19.2,1,1,Allowance,8,2.5,10,1,dirt,3,DEFINITELY TONIGHT,PERKINS BEN JR,BOCACHICA O,0,0,118,118,5,0,1.73,2,0,5,5,3,0,2,0,6,0,2,0,2,0,5,0,2,0,6,0,6,0,6,0,4,0,12,4.8,3.2,1
MTH,//360,20160704,3,6,5,6,,2,0,1,1,3,0,6,0,2,0,Allowance,8,2,51,9,dirt,2,CANDY MINE,TAMMARO JOHN J III,MAYSONETT F,2,2,120,120,2,0,-2.02,5,0,8,17.5,6,0,6,0,2,0,5,0,6,0,4,0,6,0,1,3.4,3,0,1,4.5,3,0,0,0,0,4
MTH,//450,20160704,3,5,6,2,,1,0,2,4,3,0,3,0,6,0,Allowance,8,0,15,7,dirt,1,SCOBEYVILLE,BARNEY EDWARD H,GARCIA WILMER A,0,0,120,120,2,0,-0.72,3,0,6,4.1,5,0,5,0,5,0,7,0,4,0,1,1.2,2,0,2,0,1,1.2,5,0,2,0,0,0,0,6
MTH,//120,20160704,4,5,4,5,,8,0,3,4,3,0,4,0,1,1.7,Mdn_Claimer,8.5,0,15,5,turf,7,CASSINI,BREEN KELLY J,MAYSONETT F,0,2,119,119,2,0,-1.46,3,0,4.5,5.5,5,0,0,0,1,25.8,6,0,4,0,1,2.7,1,2.9,1,2.7,3,0,1,4,1,5.5,0,0,0,5
MTH,//1344,20160704,4,1,8,2,,7,0,3,3,3,0,4,0,7,0,Mdn_Claimer,8.5,0.2,22,4,turf,1A,VICTORY'S DREAMER,EINHORN SKIP,GARCIA WILMER A,1,0,118,117,8,0,4.19,8,0,2.5,2.7,8,0,0,0,5,0,7,0,5,0,6,0,6,0,6,0,7,0,5,0,6,0,0,0,0,8
MTH,//120,20160704,4,6,4,6,,6,0,3,4,2,0,3,0,4,0,Mdn_Claimer,8.5,0,15,3,turf,6,MISS HAUGHTY TOITY,CASH RUSSELL J,USKE S,0,2,122,124,2,0,-1.46,4,0,5,10.9,4,0,0,0,3,0,2,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,0,0,0,4
MTH,//1152,20160704,4,7,6,7,,5,0,3,10,1,86.2,2,0,8,0,Mdn_Claimer,8.5,3,8,5,turf,5,U. S. POINT,WILSON TONY,BOCACHICA O,0,0,118,119,2,0,7.14,6,0,12,20.1,6,0,0,0,5,0,2,0,7,0,7,0,6,0,7,0,6,0,5,0,7,0,0,0,0,7
MTH,//1176,20160704,4,8,7,8,,4,1.6,3,9,3,0,4,0,6,0,Mdn_Claimer,8.5,2.5,9,5,turf,4,KATE 'N KERRI,MCBURNEY PATRICK B,KEISER CHELSEY,0,0,118,119,1,7.1,-1.27,7,0,15,20.5,7,0,0,0,5,0,8,0,8,0,8,0,8,0,8,0,7,0,5,0,8,0,0,0,0,6
MTH,//16,20160704,4,3,2,1,,3,0,2,1,3,0,4,0,2,0,Mdn_Claimer,8.5,0.5,36,5,turf,3,CELTIC EMBRACE,O'CONNELL KATHLEEN,LOPEZ PASCACIO,0,0,118,119,2,0,-2.87,5,0,3,1.2,1,5.6,0,0,5,0,2,0,6,0,4,0,5,0,4,0,3,0,5,0,5,0,0,2.8,2.2,2
